"","PHD1.SCH01.01_18S","PHD1.SCH01.02_18S","PHD1.SCH01.03_18S","PHD1.SCH01.04_18S","PHD1.SCH01.04rep_18S","PHD1.SCH01.05_18S","PHD1.SCH01.06_18S","PHD1.SCH01.07_18S","PHD1.SCH01.08_18S","PHD1.SCH01.09_18S","PHD1.SCH02.01_18S","PHD1.SCH02.02_18S","PHD1.SCH02.03_18S","PHD1.SCH02.04_18S","PHD1.SCH02.05_18S","PHD1.SCH02.06_18S","PHD1.SCH03.01_18S","PHD1.SCH03.02_18S","PHD1.SCH03.03_18S","PHD1.SCH03.04_18S","PHD1.SCH03.05_18S","PHD1.SCH03.05rep_18S","PHD1.SCH03.06_18S","PHD1.SCH03.07_18S","PHD1.SCH03.08_18S","PHD1.SCH03.09_18S","PHD1.SCH04.01_18S","PHD1.SCH04.02_18S","PHD1.SCH04.03_18S","PHD1.SCH04.04_18S","PHD1.SCH04.05_18S","PHD1.SCH04.06_18S","PHD1.SCH04.07_18S","PHD1.SCH04.08_18S","PHD1.SCH04.09_18S","PHD1.SCH04.09rep_18S","PHD1.SCH05.01_18S","PHD1.SCH05.02_18S","PHD1.SCH05.03_18S","PHD1.SCH06.01_18S","PHD1.SCH06.02_18S","PHD1.SCH06.03_18S","PHD1.SCH06.04_18S","PHD1.SCH06.06_18S","PHD1.SCH07.01_18S","PHD1.SCH07.02_18S","PHD1.SCH07.02rep_18S","PHD1.SCH07.03_18S","PHD1.SCH08.01_18S","PHD1.SCH08.02_18S","PHD1.SCH08.03_18S","PHD1.SCH08.04_18S","PHD1.SCH08.05_18S","PHD1.SCH08.06_18S","PHD1.SCH08.07_18S","PHD1.SCH08.08_18S","PHD1.SCH08.09_18S","PHD1.SW01.01_18S","PHD1.SW01.02_18S","PHD1.SW01.03_18S","PHD1.SW01.04_18S","PHD1.SW01.05_18S","PHD1.SW01.06_18S","PHD1.SW01.06rep_18S","PHD1.SW01.07_18S","PHD1.SW01.08_18S","PHD1.SW01.09_18S","PHD1.SW02.01_18S","PHD1.SW02.02_18S","PHD1.SW02.03_18S","PHD1.SW03.01_18S","PHD1.SW03.02_18S","PHD1.SW03.03_18S","PHD1.SW03.04_18S","PHD1.SW03.05_18S","PHD1.SW03.06_18S","PHD1.SW03.07_18S","PHD1.SW03.08_18S","PHD1.SW03.08rep_18S","PHD1.SW03.09_18S","PHD1.SW04.01_18S","PHD1.SW04.02_18S","PHD1.SW04.03_18S","PHD1.SW05.01_18S","PHD1.SW05.01rep_18S","PHD1.SW05.02_18S","PHD1.SW05.03_18S","PHD1.SW05.04_18S","PHD1.SW05.05_18S","PHD1.SW05.06_18S","PHD1.SW05.07_18S","PHD1.SW05.08_18S","PHD1.SW05.09_18S","PHD1.SW06.01_18S","PHD1.SW06.03_18S","PHD1.SW07.01_18S","PHD1.SW07.02_18S","PHD1.SW07.03_18S","PHD1.SW07.03rep_18S","PHD1.SW08.01_18S","PHD1.SW08.02_18S","PHD1.SW08.03_18S","PHD2.CN01.01_18S","PHD2.CN01.02_18S","PHD2.CN01.03_18S","PHD2.CN01.04_18S","PHD2.CN01.05_18S","PHD2.CN01.06_18S","PHD2.CN01.07_18S","PHD2.CN01.08_18S","PHD2.CN01.09_18S","PHD2.CN02.02_18S","PHD2.CN02.04_18S","PHD2.CN02.05_18S","PHD2.CN02.06_18S","PHD2.CN02.07_18S","PHD2.CN02.08_18S","PHD2.CN02.09_18S","PHD2.CN02.09rep_18S","PHD2.CN03.01_18S","PHD2.CN03.02_18S","PHD2.CN03.03_18S","PHD2.CN03.04_18S","PHD2.CN03.05_18S","PHD2.CN03.06_18S","PHD2.CN03.07_18S","PHD2.CN03.08_18S","PHD2.CN03.09_18S","PHD2.CN04.01_18S","PHD2.CN04.02_18S","PHD2.CN04.03_18S","PHD2.CN04.04_18S","PHD2.CN04.05_18S","PHD2.CN04.05rep_18S","PHD2.CN04.06_18S","PHD2.CN04.07_18S","PHD2.CN04.08_18S","PHD2.CN04.09_18S","PHD2.CN05.01_18S","PHD2.CN05.03_18S","PHD2.CN05.04_18S","PHD2.CN05.05_18S","PHD2.CN05.06_18S","PHD2.CN05.07_18S","PHD2.CN05.08_18S","PHD2.CN05.08rep_18S","PHD2.CN05.09_18S","PHD2.NE01.01_18S","PHD2.NE01.02_18S","PHD2.NE01.03_18S","PHD2.NE01.04_18S","PHD2.NE01.05_18S","PHD2.NE01.06_18S","PHD2.NE01.07_18S","PHD2.NE01.08_18S","PHD2.NE01.09_18S","PHD2.NE02.01_18S","PHD2.NE02.02_18S","PHD2.NE02.03_18S","PHD2.NE02.04_18S","PHD2.NE02.05_18S","PHD2.NE02.06_18S","PHD2.NE02.07_18S","PHD2.NE02.08_18S","PHD2.NE02.09_18S","PHD2.NE02.09rep_18S","PHD2.NE03.01_18S","PHD2.NE03.04_18S","PHD2.NE03.05_18S","PHD2.NE03.06_18S","PHD2.NE03.07_18S","PHD2.NE03.08_18S","PHD2.NE03.09_18S","PHD2.NE04.02_18S","PHD2.NE04.04_18S","PHD2.NE04.05_18S","PHD2.NE04.05rep_18S","PHD2.NE04.06_18S","PHD2.NE04.07_18S","PHD2.NE04.08_18S","PHD2.NE04.09_18S","PHD2.NE05.01_18S","PHD2.NE05.03_18S","PHD2.NE05.04_18S","PHD2.NE05.05_18S","PHD2.NE05.06_18S","PHD2.NE05.07_18S","PHD2.NE05.08_18S","PHD2.NE05.08rep_18S","PHD2.NE05.09_18S","PHD2.NW01.02_18S","PHD2.NW01.02rep_18S","PHD2.NW01.03_18S","PHD2.NW02.01_18S","PHD2.NW02.02_18S","PHD2.NW02.03_18S","PHD2.NW02.04_18S","PHD2.NW02.05_18S","PHD2.NW02.06_18S","PHD2.NW02.07_18S","PHD2.NW02.08_18S","PHD2.NW02.09_18S","PHD2.NW03.01_18S","PHD2.NW03.02_18S","PHD2.NW03.03_18S","PHD2.NW03.04_18S","PHD2.NW03.05_18S","PHD2.NW03.06_18S","PHD2.NW03.07_18S","PHD2.NW03.08_18S","PHD2.NW03.08rep_18S","PHD2.NW04.01_18S","PHD2.NW04.02_18S","PHD2.NW04.03_18S","PHD2.NW04.04_18S","PHD2.NW04.05_18S","PHD2.NW04.06_18S","PHD2.NW04.07_18S","PHD2.NW04.08_18S","PHD2.NW04.09_18S","PHD2.NW05.01_18S","PHD2.NW05.02_18S","PHD2.NW05.03_18S","PHD2.NW05.04_18S","PHD2.NW05.05_18S","PHD2.NW05.06_18S","PHD2.NW05.07_18S","PHD2.NW05.08_18S","PHD2.NW05.09_18S","PHD2.NW06.02_18S","PHD2.NW06.02rep_18S","PHD2.NW06.03_18S","PHD2.NW06.04_18S","PHD2.NW06.05_18S","PHD2.NW06.06_18S","PHD2.SCH01.04rep_18S","PHD2.SCH03.05rep_18S","PHD2.SCH04.09rep_18S","PHD2.SCH06.05_18S","PHD2.SCH07.02rep_18S","PHD2.SW01.06rep_18S","PHD2.SW03.08rep_18S"
"Prasiolaceae",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,19,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Praunus flexuosus",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Procerodes littoralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Promesostoma",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2067,2153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,546,2156,2041,0,0,0,0,0,0,19,6,3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,1640,25,65,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0
"Prorhynchus alpinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Provortex balticus",0,32,5,0,0,0,0,0,0,0,0,31,0,0,5,0,0,0,3,0,7441,13630,1212,0,10,0,0,0,0,0,1750,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823,0,8,10,0,0,0,0,0,0,0,0,0,1663,1737,0,0,0,0,0,0,0,375,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773,258,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266,0,0,0,0,0
"Provortex karlingi",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proxenetes karlingi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudaxine trachuri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pteridomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,70,39,31,0,0,0,0,0,0,8,0,4,0,0,5,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pteriomorphia",581,431,897,217,471,387,75,15,11,0,0,0,0,0,0,0,533,0,2281,434,0,0,306,0,21,0,0,0,0,0,0,15,0,0,0,0,0,0,0,116,28,94,71,119,76,113,125,53,0,0,19,0,0,0,0,0,0,0,0,0,72,22,0,28,0,0,61,39,0,79,0,0,0,0,0,0,0,0,0,0,589,291,105,0,0,0,13,0,24,0,0,0,0,0,0,0,24,0,0,66,725,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,14,0,0,0,15,5598,25081,0,720,2252,445,43,162,48,67,0,509,256,217,207,5026,1015,1204,2761,2471,992,1797,1036,798,2399,2217,1276,366,233,390,131,154,312,710,91,59,86,112,56,36,116,58,0,0,0,42,19,16,50,0,0,720,0,0,20,51,22,232,12,24,0,0,20,0,62,81,34,0,0,32,203,0,0,0,5,28,111,45,183,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,68,0,0,16,78,0,0,24,83,0,0
"Pterosperma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pterothamnion plumula",0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,11,0,41,41,49,82,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,63,31,15,0,59,57,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,9,18,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"Ptilocladiopsis horrida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,28,33,59,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ptilophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,88,13,0,18,10,54,139,96,148,0,0,10,13,353,25,102,238,0,0,0,19,13,17,29,343,91,0,0,0,0,0,0,2571,13,13,44,856,167,0,89,0,21,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,19,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,0
"Ptychopera plebeia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,2073,8013,14,0,10481,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pugetia fragilissima",0,108,40,97,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,325,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramidellidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramimonadales",0,0,0,0,0,0,0,57,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,25,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrgomatidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,27,0,11,4,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,52,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,32,0,0,0,0,0,0,0
"Raphidophyceae",0,0,0,0,0,0,0,20,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,104,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
